Agnieres-en-devoluy|(05250)|44.7|5.88333
Agnin|(38150)|45.3333|4.86667
Agnos|(64400)|43.1667|-0.616667
Agny|(62217)|50.2667|2.76667
Agon-coutainville|(50230)|49.0417|-1.575
Agonac|(24460)|45.2833|0.75
Agones|(34190)|43.9167|3.75
Agonges|(03210)|46.6|3.15
Agos-vidalos|(65400)|43.0333|-0.066667
Agris|(16110)|45.7833|0.333333
Agudelle|(17500)|45.3833|-0.466667
Aguessac|(12520)|44.15|3.1
Aguilcourt|(02190)|49.4|3.96667
Aguts|(81470)|43.5333|1.91667
Agy|(14400)|49.25|-0.766667
Ahaxe-alciette-bascassan|(64220)|43.15|-1.16667
Ahetze|(64210)|43.4|-1.56667
Aheville|(88500)|48.2833|6.2
Ahuille|(53940)|48.0167|-0.883333
Ahun|(23150)|46.0833|2.05
Ahuy|(21121)|47.3667|5.03333
Aibes|(59149)|50.2333|4.1
Aibre|(25750)|47.55|6.7
Aicirits-camou-suhast|(64120)|43.3367|0.976112
Aiffres|(79230)|46.2833|-0.416667
Aigaliers|(30700)|44.0667|4.31667
Aiglemont|(08090)|49.7833|4.78333
Aiglepierre|(39110)|46.95|5.81667
Aigleville|(27120)|49|1.41667
Aiglun|(04510)|44.0667|6.13333
Aiglun|(06910)|43.85|6.91667
Aignan|(32290)|43.7|0.083333
Aignay-le-duc|(21510)|47.6667|4.73333
Aigne|(34210)|43.3333|2.81667
Aigne|(72650)|48.0667|0.116667
Aignerville|(14710)|49.3167|-0.916667
Aignes|(31550)|43.3167|1.6
Aignes-et-puyperoux|(16190)|45.45|0.15
Aigneville|(80210)|50.0333|1.61667
Aigny|(51150)|49.0333|4.21667
Aigonnay|(79370)|46.3167|-0.25
Aigre|(16140)|45.9|0.016667
Aigrefeuille|(31280)|43.5667|1.6
Aigrefeuille-d'aunis|(17290)|46.1167|-0.933333
Aigrefeuille-sur-maine|(44140)|47.0667|-1.4
Aigremont|(30350)|43.9667|4.11667
Aigremont|(52400)|48.0167|5.71667
Aigremont|(78240)|48.9|2.01667
Aigremont|(89800)|47.7167|3.88333
Aiguebelette-le-lac|(73610)|45.5333|5.81667
Aiguebelle|(73220)|45.5333|6.3
Aigueblanche|(73260)|45.5|6.5
Aiguefonde|(81200)|43.4833|2.33333
Aigueperse|(63260)|46.0167|3.2
Aigueperse|(69790)|46.2833|4.43333
Aigues-juntes|(09240)|43.05|1.46667
Aigues-mortes|(30220)|43.5667|4.19167
Aigues-vives|(09600)|43|1.88333
Aigues-vives|(11800)|43.2309|2.53334
Aigues-vives|(30670)|43.7395|4.18056
Aigues-vives|(34210)|43.3333|2.81667
Aigueze|(30760)|44.3|4.56667
Aiguilhe|(43000)|45.0509|3.88473
Aiguilles|(05470)|44.7833|6.86667
Aiguillon|(47190)|44.3|0.35
Aiguines|(83630)|43.7667|6.25
Aigurande|(36140)|46.4333|1.83333
Ailhon|(07200)|44.5981|4.34195
Aillant-sur-milleron|(45230)|47.8|2.93333
Aillant-sur-tholon|(89110)|47.8667|3.35
Aillas|(33124)|44.4667|-0.066667
Ailleux|(42130)|45.8|3.95
Aillevans|(70110)|47.5833|6.41667
Ailleville|(10200)|48.25|4.68333
Aillevillers-et-lyaumont|(70320)|47.9167|6.33333
Aillianville|(52700)|48.35|5.48333
Aillieres-beauvoir|(72600)|48.405|0.325278
Aillon-le-jeune|(73340)|45.6167|6.08333
Aillon-le-vieux|(73340)|45.65|6.1
Ailloncourt|(70300)|47.75|6.38333
Ailly|(27600)|49.1609|1.24667
Ailly-le-haut-clocher|(80690)|50.0833|2
Ailly-sur-noye|(80250)|49.75|2.36667
Ailly-sur-somme|(80470)|49.9167|2.2
Aimargues|(30470)|43.6833|4.2
Aime|(73210)|45.55|6.65
Ainay-le-chateau|(03360)|46.7167|2.7
Ainay-le-vieil|(18200)|46.6667|2.55
Aincille|(64220)|43.15|-1.2
Aincourt|(95510)|49.0667|1.78333
Aincreville|(55110)|49.3667|5.11667
Aingeray|(54460)|48.7333|6
Aingeville|(88140)|48.2|5.76667
Aingoulaincourt|(52230)|48.45|5.28333
Ainharp|(64130)|43.2667|-0.933333
Ainhice-mongelos|(64220)|43.2|-1.15
Ainhoa|(64250)|43.3|-1.5
Ainvelle|(70800)|47.85|6.25
Ainvelle|(88320)|48|5.83333
Airaines|(80270)|49.9667|1.95
Airan|(14370)|49.1|-0.15
Aire|(08190)|49.4833|4.16667
Aire-sur-l'adour|(40800)|43.7|-0.266667
Aire-sur-la-lys|(62120)|50.6333|2.4
Airel|(50680)|49.2167|-1.08333
Les aires|(34600)|43.5833|3.11667
Airion|(60600)|49.4333|2.41667
Airon-notre-dame|(62180)|50.4333|1.66667
Airon-saint-vaast|(62180)|50.4333|1.66667
Airoux|(11320)|43.3667|1.86667
Airvault|(79600)|46.8333|-0.15
Aiserey|(21110)|47.1667|5.16667
Aisey-et-richecourt|(70500)|47.8833|5.95
Aisey-sur-seine|(21400)|47.75|4.58333
Aisonville-et-bernoville|(02110)|49.9333|3.53333
Aissey|(25360)|47.2667|6.33333
Aisy-sous-thil|(21390)|47.4|4.28333
Aisy-sur-armancon|(89390)|47.65|4.21667
Aiti|(20244)|42.3992|9.2439
Aiton|(73220)|45.5667|6.25
